Disease,DPR
Retinoblastoma,1
Idiopathic achalasia,1
Isolated complex I deficiency,1
Congenital vertical talus,1
Fetal left ventricular aneurysm,1
Laryngotracheoesophageal cleft,1
Primary pulmonary hypoplasia,1
Syndactyly type 8,1
Infundibulopelvic stenosis-multicystic kidney syndrome,1
Anodontia,1
Brachyolmia,2
Hereditary gingival fibromatosis,2
Median cleft lip/mandibule,2
Bifid nose,2
Trichodysplasia-amelogenesis imperfecta syndrome,2
Superficial pemphigus,2
"Hereditary palmoplantar keratoderma, Gamborg-Nielsen type",2
Diffuse palmoplantar keratoderma-acrocyanosis syndrome,2
Invasive mole,2
Congenital macroglossia,3
Hydrops fetalis,3
Hallux varus-preaxial polysyndactyly syndrome,3
Annular pancreas,3
Roch-Leri mesosomatous lipomatosis,3
Crigler-Najjar syndrome type 2,3
Pleomorphic liposarcoma,3
Congenital diaphragmatic hernia,4
Omphalocele,4
Alopecia-intellectual disability-hypergonadotropic hypogonadism syndrome,4
Neurofibromatosis type 6,4
Oculocerebral dysplasia,4
Gestational trophoblastic neoplasm,4
Adamantinoma,4
Congenital hydrocephalus,5
Leukoencephalopathy with bilateral anterior temporal lobe cysts,5
Dandy-Walker malformation-postaxial polydactyly syndrome,5
Phenobarbital embryopathy,5
Autosomal dominant prognathism,5
Spinocerebellar ataxia type 41,5
Congenital membranous nephropathy due to fetomaternal anti-neutral endopeptidase alloimmunization,5
Lipedema,5
Isolated scaphocephaly,5
Congenital central diabetes insipidus,5
"46,XY complete gonadal dysgenesis",6
Persistent Mullerian duct syndrome,6
Hyperlipidemia due to hepatic triacylglycerol lipase deficiency,6
Familial developmental dysphasia,6
Isolated anencephaly/exencephaly,6
Pseudoxanthomatous diffuse cutaneous mastocytosis,6
Interatrial communication,7
Alopecia universalis,7
Microtia-eye coloboma-imperforation of the nasolacrimal duct syndrome,7
"Dominant dystrophic epidermolysis bullosa, nails only",7
X-linked non-syndromic intellectual disability,7
Non-24-hour sleep-wake syndrome,7
Keratosis palmaris et plantaris-clinodactyly syndrome,7
Microphthalmia-ankyloblepharon-intellectual disability syndrome,7
