HPO,PDR
obsolete Partial aniridia,1
obsolete Congenital visual impairment,1
obsolete Congenital chorioretinal dystrophy,1
obsolete Choroidal degeneration,1
obsolete Congenital septal defect,1
obsolete Acral ulceration and osteomyelitis leading to autoamputation of the digits (feet),1
obsolete Calcific mitral stenosis,1
obsolete Calcific aortic valve stenosis,1
obsolete Primary T-lymphocyte immune abnormalities,1
obsolete Degenerative joint disease,1
obsolete Pigmentary retinal deposits,1
"obsolete Absence of subcutaneous fat over entire body except buttocks, hips, and thighs",1
obsolete Iridoretinal coloboma,1
obsolete Premature peripheral vascular disease,1
obsolete Congenital strabismus,1
obsolete Concentric narrowing of visual field,1
obsolete Abnormality of cells of the lymphoid lineage,1
obsolete Large artery calcification,1
obsolete Mildly reduced visual acuity,1
obsolete Peripheral arterial stenosis,1
obsolete Episodes of ventricular tachycardia,1
obsolete Abnormality of the ocular region,1
Stillbirth,1
obsolete Ligamentous laxity,1
obsolete Lung segmentation defects,2
Sudden death,2
obsolete Flat midface,2
obsolete Involuntary jerking movements,2
obsolete Decreased subcutaneous fat,2
obsolete Abnormal globe morphology,2
obsolete Glioblastoma,2
obsolete Respiratory difficulties,2
obsolete Dilatation of abdominal aorta,3
obsolete Peripheral vascular insufficiency,3
obsolete Dilatation of the descending aorta,3
obsolete Peripheral artery occlusive disease,3
obsolete Pigmentary retinal degeneration,3
Neonatal death,3
obsolete Abnormality of the bronchi,4
obsolete Primary ovarian failure,4
obsolete Occlusive vascular disease,4
Increased body fat percentage,5
Growth abnormality,5
Abnormality of the thoracic cavity,5
Autoamputation,5
Abnormality of the digestive system,5
Abnormality of digestive system morphology,5
Abnormality of head or neck,5
Abnormality of limbs,5
Gustatory sweating,5
Abnormality of skin adnexa morphology,5
Ipsilateral lack of facial sweating,5
Abnormality of skin adnexa physiology,5
Hypohidrosis or hyperhidrosis,5
Generalized anhidrosis,5
Cold-induced sweating,5
Abnormality of the integument,5
Abnormal stool composition,5
Abnormality of the abdominal organs,5
Increased stool urobilinogen concentration,5
Reye syndrome-like episodes,5
Increased stool alpha1-antitrypsin concentration,5
Abnormal stool urobilinogen concentration,5
Dependency on intravenous nutrition,5
Decreased mitochondrial complex III activity in liver tissue,5
Abnormality of hepatobiliary system physiology,5
Abnormality of digestive system physiology,5
Phenotypic abnormality,5
obsolete Abnormal test result,5
obsolete Autonomic dysregulation,5
obsolete Dilatation of ascending aorta,5
Breast hypertrophy,6
Agalactia,6
Abnormal breast morphology,6
Abnormal breast physiology,6
Abnormality of the breast,6
